timestep_2,carrier_1,parameter,value
h2220,electricity,dem,55.91752577
h2221,electricity,dem,53.75670103
h2222,electricity,dem,52.02371134
h2223,electricity,dem,50.71340206
h2224,electricity,dem,49.73505155
h2225,electricity,dem,50.48247423
h2226,electricity,dem,51.92886598
h2227,electricity,dem,52.99278351
h2228,electricity,dem,54.55154639
h2229,electricity,dem,53.43298969
h2230,electricity,dem,52.44845361
h2231,electricity,dem,49.57319588
h2232,electricity,dem,46.18762887
h2233,electricity,dem,43.93917526
h2234,electricity,dem,42.93814433
h2235,electricity,dem,42.6742268
h2236,electricity,dem,43.45051546
h2237,electricity,dem,44.43298969
h2238,electricity,dem,45.31134021
h2239,electricity,dem,47.43092784
h2240,electricity,dem,51.3
h2241,electricity,dem,54.8814433
h2242,electricity,dem,56.96701031
h2243,electricity,dem,58.04742268
h2244,electricity,dem,57.70309278
h2245,electricity,dem,56.34123711
h2246,electricity,dem,55.08969072
h2247,electricity,dem,54.49072165
h2248,electricity,dem,53.67731959
h2249,electricity,dem,54.28659794
h2250,electricity,dem,54.85773196
h2251,electricity,dem,54.84226804
h2252,electricity,dem,55.40515464
h2253,electricity,dem,53.77835052
h2254,electricity,dem,52.61134021
h2255,electricity,dem,49.5556701
h2256,electricity,dem,46.12886598
h2257,electricity,dem,43.97731959
h2258,electricity,dem,42.7742268
h2259,electricity,dem,42.54329897
h2260,electricity,dem,42.84123711
h2261,electricity,dem,42.59072165
h2262,electricity,dem,41.51134021
h2263,electricity,dem,42.70309278
h2264,electricity,dem,46.13814433
h2265,electricity,dem,49.22989691
h2266,electricity,dem,50.77628866
h2267,electricity,dem,52.96907216
h2268,electricity,dem,51.5185567
h2269,electricity,dem,48.53298969
h2270,electricity,dem,46.90618557
h2271,electricity,dem,45.77319588
h2272,electricity,dem,44.88453608
h2273,electricity,dem,45.69278351
h2274,electricity,dem,47.49587629
h2275,electricity,dem,48.48865979
h2276,electricity,dem,50.70206186
h2277,electricity,dem,50.59278351
h2278,electricity,dem,50.10618557
h2279,electricity,dem,47.20515464
h2280,electricity,dem,44.23814433
h2281,electricity,dem,42.16701031
h2282,electricity,dem,41.17628866
h2283,electricity,dem,41.12783505
h2284,electricity,dem,41.75463918
h2285,electricity,dem,41.97319588
h2286,electricity,dem,41.5185567
h2287,electricity,dem,42.51134021
h2288,electricity,dem,46.05051546
h2289,electricity,dem,49.91443299
h2290,electricity,dem,51.82268041
h2291,electricity,dem,53.75051546
h2292,electricity,dem,53.33608247
h2293,electricity,dem,51.22886598
h2294,electricity,dem,49.76597938
h2295,electricity,dem,48.77731959
h2296,electricity,dem,47.93505155
h2297,electricity,dem,48.53298969
h2298,electricity,dem,50.25979381
h2299,electricity,dem,51.40927835
h2300,electricity,dem,54.02268041
h2301,electricity,dem,53.78865979
h2302,electricity,dem,53.49793814
h2303,electricity,dem,50.40721649
h2304,electricity,dem,47.32268041
h2305,electricity,dem,45.5628866
h2306,electricity,dem,45.1185567
h2307,electricity,dem,45.82061856
h2308,electricity,dem,47.9443299
h2309,electricity,dem,52.39690722
h2310,electricity,dem,60.22268041
h2311,electricity,dem,65.96701031
h2312,electricity,dem,69.5443299
h2313,electricity,dem,70.74639175
h2314,electricity,dem,72.04226804
h2315,electricity,dem,73.15360825
h2316,electricity,dem,72.7257732
h2317,electricity,dem,71.85979381
h2318,electricity,dem,70.85773196
h2319,electricity,dem,69.80618557
h2320,electricity,dem,67.49381443
h2321,electricity,dem,66.40515464
h2322,electricity,dem,66.43608247
h2323,electricity,dem,66.55670103
h2324,electricity,dem,67.27010309
h2325,electricity,dem,64.87319588
h2326,electricity,dem,61.6
h2327,electricity,dem,57.07938144
h2328,electricity,dem,52.92989691
h2329,electricity,dem,50.72268041
h2330,electricity,dem,49.61340206
h2331,electricity,dem,50.20824742
h2332,electricity,dem,51.76082474
h2333,electricity,dem,55.33814433
h2334,electricity,dem,62.15463918
h2335,electricity,dem,67.33092784
h2336,electricity,dem,70.45876289
h2337,electricity,dem,71.83092784
h2338,electricity,dem,72.9
h2339,electricity,dem,73.77525773
h2340,electricity,dem,72.95670103
h2341,electricity,dem,71.9
h2342,electricity,dem,70.1556701
h2343,electricity,dem,68.49896907
h2344,electricity,dem,66.23092784
h2345,electricity,dem,65.35876289
h2346,electricity,dem,65.34742268
h2347,electricity,dem,65.77628866
h2348,electricity,dem,66.44948454
h2349,electricity,dem,64.29896907
h2350,electricity,dem,60.87628866
h2351,electricity,dem,56.36185567
h2352,electricity,dem,52.25876289
h2353,electricity,dem,49.88041237
h2354,electricity,dem,48.84536082
h2355,electricity,dem,49.54536082
h2356,electricity,dem,51.30206186
h2357,electricity,dem,55.05154639
h2358,electricity,dem,61.50618557
h2359,electricity,dem,66.55154639
h2360,electricity,dem,69.19896907
h2361,electricity,dem,70.23608247
h2362,electricity,dem,71.35154639
h2363,electricity,dem,72.17731959
h2364,electricity,dem,71.22371134
h2365,electricity,dem,70.15360825
h2366,electricity,dem,68.57216495
h2367,electricity,dem,67.21237113
h2368,electricity,dem,64.97113402
h2369,electricity,dem,64.25773196
h2370,electricity,dem,63.9257732
h2371,electricity,dem,64.36804124
h2372,electricity,dem,65.31237113
h2373,electricity,dem,63.32474227
h2374,electricity,dem,59.47010309
h2375,electricity,dem,54.71134021
h2376,electricity,dem,51.00103093
h2377,electricity,dem,48.72371134
h2378,electricity,dem,47.73505155
h2379,electricity,dem,48.3185567
h2380,electricity,dem,50.07628866
h2381,electricity,dem,54.01443299
h2382,electricity,dem,60.60309278
h2383,electricity,dem,65.77525773
h2384,electricity,dem,68.98041237
h2385,electricity,dem,70.18865979
h2386,electricity,dem,71.41134021
h2387,electricity,dem,72.21443299
h2388,electricity,dem,70.86804124
h2389,electricity,dem,69.05979381
h2390,electricity,dem,66.93092784
h2391,electricity,dem,65.12061856
h2392,electricity,dem,63.42680412
h2393,electricity,dem,62.94948454
h2394,electricity,dem,62.53402062
h2395,electricity,dem,62.34123711
h2396,electricity,dem,63.2
h2397,electricity,dem,61.09587629
h2398,electricity,dem,57.73814433
h2399,electricity,dem,53.37938144
h2400,electricity,dem,49.38041237
h2401,electricity,dem,47.0257732
h2402,electricity,dem,45.71134021
h2403,electricity,dem,45.33814433
h2404,electricity,dem,45.91546392
h2405,electricity,dem,46.86494845
h2406,electricity,dem,48.02061856
h2407,electricity,dem,50.65051546
h2408,electricity,dem,54.90927835
h2409,electricity,dem,58.19690722
h2410,electricity,dem,59.95360825
h2411,electricity,dem,61.07216495
h2412,electricity,dem,60.29484536
h2413,electricity,dem,58.47731959
h2414,electricity,dem,56.70412371
h2415,electricity,dem,55.34948454
h2416,electricity,dem,54.82680412
h2417,electricity,dem,55.70618557
h2418,electricity,dem,56.53608247
h2419,electricity,dem,56.6556701
h2420,electricity,dem,56.17113402
h2421,electricity,dem,53.99484536
h2422,electricity,dem,51.8814433
h2423,electricity,dem,48.24226804
h2424,electricity,dem,44.7556701
h2425,electricity,dem,42.43402062
h2426,electricity,dem,41.05154639
h2427,electricity,dem,40.92886598
h2428,electricity,dem,41.33298969
h2429,electricity,dem,41.54948454
h2430,electricity,dem,41.21752577
h2431,electricity,dem,43.04329897
h2432,electricity,dem,46.5628866
h2433,electricity,dem,49.8371134
h2434,electricity,dem,52.6443299
h2435,electricity,dem,54.70412371
h2436,electricity,dem,53.73814433
h2437,electricity,dem,51.33402062
h2438,electricity,dem,49.41958763
h2439,electricity,dem,48.09278351
h2440,electricity,dem,47.78659794
h2441,electricity,dem,48.91958763
h2442,electricity,dem,50.95463918
h2443,electricity,dem,52.06185567
h2444,electricity,dem,54.23298969
h2445,electricity,dem,54.17525773
h2446,electricity,dem,52.97010309
h2447,electricity,dem,49.46597938
h2448,electricity,dem,46.45979381
h2449,electricity,dem,44.78969072
h2450,electricity,dem,43.96597938
h2451,electricity,dem,44.62783505
h2452,electricity,dem,46.68865979
h2453,electricity,dem,51.63608247
h2454,electricity,dem,60.96391753
h2455,electricity,dem,66.60103093
h2456,electricity,dem,69.65051546
h2457,electricity,dem,70.59690722
h2458,electricity,dem,71.74536082
h2459,electricity,dem,72.94329897
h2460,electricity,dem,72.12989691
h2461,electricity,dem,71.34020619
h2462,electricity,dem,69.96804124
h2463,electricity,dem,68.66804124
h2464,electricity,dem,66.83917526
h2465,electricity,dem,66.01546392
h2466,electricity,dem,65.55876289
h2467,electricity,dem,65.31958763
h2468,electricity,dem,65.8185567
h2469,electricity,dem,63.7628866
h2470,electricity,dem,59.67731959
h2471,electricity,dem,54.66597938
h2472,electricity,dem,51.10824742
h2473,electricity,dem,49.02886598
h2474,electricity,dem,48.17113402
h2475,electricity,dem,49.07216495
h2476,electricity,dem,50.65979381
h2477,electricity,dem,54.85360825
h2478,electricity,dem,62.9185567
h2479,electricity,dem,67.97731959
h2480,electricity,dem,70.54123711
h2481,electricity,dem,70.90515464
h2482,electricity,dem,72.12989691
h2483,electricity,dem,73.17835052
h2484,electricity,dem,72.25979381
h2485,electricity,dem,71.24226804
h2486,electricity,dem,70.03814433
h2487,electricity,dem,68.58350515
h2488,electricity,dem,66.43917526
h2489,electricity,dem,66.0628866
h2490,electricity,dem,65.57835052
h2491,electricity,dem,65.48865979
h2492,electricity,dem,65.74742268
h2493,electricity,dem,64.04948454
h2494,electricity,dem,59.69690722
h2495,electricity,dem,54.48453608
h2496,electricity,dem,50.62061856
h2497,electricity,dem,48.55360825
h2498,electricity,dem,47.55773196
h2499,electricity,dem,47.86391753
h2500,electricity,dem,49.64536082
h2501,electricity,dem,54.06494845
h2502,electricity,dem,62.06391753
h2503,electricity,dem,67.29484536
h2504,electricity,dem,70.01958763
h2505,electricity,dem,70.4814433
h2506,electricity,dem,71.82989691
h2507,electricity,dem,73.19587629
h2508,electricity,dem,71.93608247
h2509,electricity,dem,71.27835052
h2510,electricity,dem,69.92783505
h2511,electricity,dem,68.4185567
h2512,electricity,dem,66.33814433
h2513,electricity,dem,65.64226804
h2514,electricity,dem,65.33505155
h2515,electricity,dem,65.19690722
h2516,electricity,dem,65.61340206
h2517,electricity,dem,64.26907216
h2518,electricity,dem,59.65876289
h2519,electricity,dem,54.40103093
h2520,electricity,dem,50.44123711
h2521,electricity,dem,48.21237113
h2522,electricity,dem,46.92989691
h2523,electricity,dem,47.18659794
h2524,electricity,dem,48.93195876
h2525,electricity,dem,53.19896907
h2526,electricity,dem,61.25051546
h2527,electricity,dem,66.37835052
h2528,electricity,dem,69.31649485
h2529,electricity,dem,70.35257732
h2530,electricity,dem,71.6
h2531,electricity,dem,72.33402062
h2532,electricity,dem,71.60721649
h2533,electricity,dem,70.88762887
h2534,electricity,dem,69.55979381
h2535,electricity,dem,68.35257732
h2536,electricity,dem,66.51958763
h2537,electricity,dem,65.99072165
h2538,electricity,dem,65.94020619
h2539,electricity,dem,65.67938144
h2540,electricity,dem,65.37938144
h2541,electricity,dem,63.34123711
h2542,electricity,dem,58.97938144
h2543,electricity,dem,53.90412371
h2544,electricity,dem,50.23814433
h2545,electricity,dem,48.10206186
h2546,electricity,dem,47.16494845
h2547,electricity,dem,47.64020619
h2548,electricity,dem,49.29896907
h2549,electricity,dem,53.52783505
h2550,electricity,dem,61.16494845
h2551,electricity,dem,66.66907216
h2552,electricity,dem,69.47938144
h2553,electricity,dem,70.20515464
h2554,electricity,dem,71.52680412
h2555,electricity,dem,72.20618557
h2556,electricity,dem,71.24123711
h2557,electricity,dem,70.06082474
h2558,electricity,dem,68.47628866
h2559,electricity,dem,67.36185567
h2560,electricity,dem,66.09793814
h2561,electricity,dem,65.64536082
h2562,electricity,dem,64.76494845
h2563,electricity,dem,63.97835052
h2564,electricity,dem,63.14639175
h2565,electricity,dem,61.29381443
h2566,electricity,dem,57.65773196
h2567,electricity,dem,52.92474227
h2568,electricity,dem,49.0742268
h2569,electricity,dem,46.60309278
h2570,electricity,dem,45.38865979
h2571,electricity,dem,45.58969072
h2572,electricity,dem,45.92989691
h2573,electricity,dem,46.55979381
h2574,electricity,dem,47.28350515
h2575,electricity,dem,50.50103093
h2576,electricity,dem,54.82474227
h2577,electricity,dem,57.99587629
h2578,electricity,dem,59.66391753
h2579,electricity,dem,60.46701031
h2580,electricity,dem,58.75257732
h2581,electricity,dem,56.29793814
h2582,electricity,dem,54.29793814
h2583,electricity,dem,53.07628866
h2584,electricity,dem,52.30927835
h2585,electricity,dem,52.75360825
h2586,electricity,dem,53.6
h2587,electricity,dem,53.24329897
h2588,electricity,dem,53.40824742
h2589,electricity,dem,52.66391753
h2590,electricity,dem,50.50824742
h2591,electricity,dem,46.86907216
h2592,electricity,dem,43.63402062
h2593,electricity,dem,41.46907216
h2594,electricity,dem,40.37525773
h2595,electricity,dem,40.42783505
h2596,electricity,dem,40.79175258
h2597,electricity,dem,41.2556701
h2598,electricity,dem,40.61237113
h2599,electricity,dem,42.50309278
h2600,electricity,dem,46.27731959
h2601,electricity,dem,49.8628866
h2602,electricity,dem,52.1257732
h2603,electricity,dem,54.15154639
h2604,electricity,dem,53.26701031
h2605,electricity,dem,50.82783505
h2606,electricity,dem,48.93195876
h2607,electricity,dem,47.77010309
h2608,electricity,dem,47.1
h2609,electricity,dem,48.10721649
h2610,electricity,dem,49.85876289
h2611,electricity,dem,50.91649485
h2612,electricity,dem,52.18865979
h2613,electricity,dem,52.52164948
h2614,electricity,dem,51.12474227
h2615,electricity,dem,47.51443299
h2616,electricity,dem,44.69381443
h2617,electricity,dem,43.33298969
h2618,electricity,dem,42.84020619
h2619,electricity,dem,43.53092784
h2620,electricity,dem,45.71649485
h2621,electricity,dem,50.8443299
h2622,electricity,dem,59.40309278
h2623,electricity,dem,65.26494845
h2624,electricity,dem,68.13505155
h2625,electricity,dem,68.82783505
h2626,electricity,dem,70.12680412
h2627,electricity,dem,71.36391753
h2628,electricity,dem,70.75154639
h2629,electricity,dem,69.84639175
h2630,electricity,dem,68.59484536
h2631,electricity,dem,67.26185567
h2632,electricity,dem,65.37113402
h2633,electricity,dem,64.46494845
h2634,electricity,dem,64.16907216
h2635,electricity,dem,64.13505155
h2636,electricity,dem,63.65463918
h2637,electricity,dem,62.55051546
h2638,electricity,dem,58.09175258
h2639,electricity,dem,52.75051546
h2640,electricity,dem,49.22061856
h2641,electricity,dem,47.19381443
h2642,electricity,dem,46.23195876
h2643,electricity,dem,46.75773196
h2644,electricity,dem,48.6185567
h2645,electricity,dem,52.95154639
h2646,electricity,dem,60.61237113
h2647,electricity,dem,66.05979381
h2648,electricity,dem,68.73814433
h2649,electricity,dem,69.23195876
h2650,electricity,dem,70.48969072
h2651,electricity,dem,71.68762887
h2652,electricity,dem,71.00103093
h2653,electricity,dem,70.55979381
h2654,electricity,dem,69.19484536
h2655,electricity,dem,67.80412371
h2656,electricity,dem,65.89896907
h2657,electricity,dem,64.96185567
h2658,electricity,dem,64.68041237
h2659,electricity,dem,64.45051546
h2660,electricity,dem,64.21134021
h2661,electricity,dem,63.24948454
h2662,electricity,dem,58.91958763
h2663,electricity,dem,53.37525773
h2664,electricity,dem,49.37113402
h2665,electricity,dem,47.43608247
h2666,electricity,dem,46.5
h2667,electricity,dem,46.8556701
h2668,electricity,dem,48.3443299
h2669,electricity,dem,52.63195876
h2670,electricity,dem,60.27319588
h2671,electricity,dem,65.90206186
h2672,electricity,dem,68.85773196
h2673,electricity,dem,69.45773196
h2674,electricity,dem,70.70824742
h2675,electricity,dem,71.67835052
h2676,electricity,dem,70.91752577
h2677,electricity,dem,69.90103093
h2678,electricity,dem,68.36082474
h2679,electricity,dem,66.96597938
h2680,electricity,dem,65.10927835
h2681,electricity,dem,64.37835052
h2682,electricity,dem,63.87628866
h2683,electricity,dem,63.72783505
h2684,electricity,dem,63.11958763
h2685,electricity,dem,62.2371134
h2686,electricity,dem,57.83917526
h2687,electricity,dem,52.93195876
h2688,electricity,dem,49.3814433
h2689,electricity,dem,47.46494845
h2690,electricity,dem,46.55979381
h2691,electricity,dem,47.19896907
h2692,electricity,dem,48.9
h2693,electricity,dem,52.95463918
h2694,electricity,dem,60.3
h2695,electricity,dem,65.54123711
h2696,electricity,dem,68.26907216
h2697,electricity,dem,69.11237113
h2698,electricity,dem,70.20206186
h2699,electricity,dem,71.08350515
h2700,electricity,dem,69.95360825
h2701,electricity,dem,69.20206186
h2702,electricity,dem,67.62061856
h2703,electricity,dem,66.19278351
h2704,electricity,dem,64.34020619
h2705,electricity,dem,63.69484536
h2706,electricity,dem,63.64845361
h2707,electricity,dem,63.7185567
h2708,electricity,dem,63.23505155
h2709,electricity,dem,62.4628866
h2710,electricity,dem,58.22268041
h2711,electricity,dem,52.9814433
h2712,electricity,dem,49.38969072
h2713,electricity,dem,47.37319588
h2714,electricity,dem,46.45773196
h2715,electricity,dem,46.93917526
h2716,electricity,dem,48.58865979
h2717,electricity,dem,52.73092784
h2718,electricity,dem,60.14845361
h2719,electricity,dem,65.70927835
h2720,electricity,dem,68.39381443
h2721,electricity,dem,69.11546392
h2722,electricity,dem,70.07319588
h2723,electricity,dem,70.76597938
h2724,electricity,dem,69.78041237
h2725,electricity,dem,68.4443299
h2726,electricity,dem,66.70412371
h2727,electricity,dem,65.05051546
h2728,electricity,dem,63.40103093
h2729,electricity,dem,62.82680412
h2730,electricity,dem,62.29896907
h2731,electricity,dem,61.6814433
h2732,electricity,dem,60.93092784
h2733,electricity,dem,59.8371134
h2734,electricity,dem,56.25051546
h2735,electricity,dem,51.78865979
h2736,electricity,dem,48.0742268
h2737,electricity,dem,45.90515464
h2738,electricity,dem,44.35670103
h2739,electricity,dem,43.99175258
h2740,electricity,dem,44.27938144
h2741,electricity,dem,45.0556701
h2742,electricity,dem,46.42268041
h2743,electricity,dem,49.96494845
h2744,electricity,dem,54.41752577
h2745,electricity,dem,57.56597938
h2746,electricity,dem,59.41958763
h2747,electricity,dem,60.22989691
h2748,electricity,dem,59.31237113
h2749,electricity,dem,57.46597938
h2750,electricity,dem,55.77628866
h2751,electricity,dem,54.78247423
h2752,electricity,dem,54.09690722
h2753,electricity,dem,54.81134021
h2754,electricity,dem,55.29587629
h2755,electricity,dem,54.62268041
h2756,electricity,dem,53.52474227
h2757,electricity,dem,52.39793814
h2758,electricity,dem,50.21752577
h2759,electricity,dem,46.59690722
h2760,electricity,dem,43.10618557
h2761,electricity,dem,40.61237113
h2762,electricity,dem,39.28247423
h2763,electricity,dem,38.97835052
h2764,electricity,dem,39.29381443
h2765,electricity,dem,39.66597938
h2766,electricity,dem,39.5742268
h2767,electricity,dem,41.85773196
h2768,electricity,dem,45.82268041
h2769,electricity,dem,49.35257732
h2770,electricity,dem,51.98969072
h2771,electricity,dem,54.12989691
h2772,electricity,dem,53.74226804
h2773,electricity,dem,51.55773196
h2774,electricity,dem,49.85463918
h2775,electricity,dem,48.99690722
h2776,electricity,dem,48.36597938
h2777,electricity,dem,49.3814433
h2778,electricity,dem,51.15463918
h2779,electricity,dem,51.64123711
h2780,electricity,dem,52.30309278
h2781,electricity,dem,52.75360825
h2782,electricity,dem,51.70515464
h2783,electricity,dem,48.06804124
h2784,electricity,dem,45.07319588
h2785,electricity,dem,43.5185567
h2786,electricity,dem,42.88247423
h2787,electricity,dem,43.45670103
h2788,electricity,dem,45.52680412
h2789,electricity,dem,50.45051546
h2790,electricity,dem,59.4185567
h2791,electricity,dem,66.01443299
h2792,electricity,dem,69.54329897
h2793,electricity,dem,70.75773196
h2794,electricity,dem,72.23402062
h2795,electricity,dem,73.67731959
h2796,electricity,dem,73.14845361
h2797,electricity,dem,72.3443299
h2798,electricity,dem,71.26597938
h2799,electricity,dem,70.1185567
h2800,electricity,dem,68.25773196
h2801,electricity,dem,67.68041237
h2802,electricity,dem,67.41030928
h2803,electricity,dem,66.79793814
h2804,electricity,dem,65.29587629
h2805,electricity,dem,63.45257732
h2806,electricity,dem,59.3628866
h2807,electricity,dem,54.20721649
h2808,electricity,dem,50.59690722
h2809,electricity,dem,48.65773196
h2810,electricity,dem,47.76082474
h2811,electricity,dem,48.36701031
h2812,electricity,dem,50.00309278
h2813,electricity,dem,54.06701031
h2814,electricity,dem,61.72474227
h2815,electricity,dem,67.36907216
h2816,electricity,dem,70.23298969
h2817,electricity,dem,70.71134021
h2818,electricity,dem,71.86701031
h2819,electricity,dem,73.21752577
h2820,electricity,dem,72.50515464
h2821,electricity,dem,71.90412371
h2822,electricity,dem,70.71958763
h2823,electricity,dem,69.16391753
h2824,electricity,dem,67.54123711
h2825,electricity,dem,66.92474227
h2826,electricity,dem,66.47938144
h2827,electricity,dem,65.93298969
h2828,electricity,dem,64.68556701
h2829,electricity,dem,64.03814433
h2830,electricity,dem,60.57525773
h2831,electricity,dem,55.7742268
h2832,electricity,dem,51.60309278
h2833,electricity,dem,49.52989691
h2834,electricity,dem,48.77835052
h2835,electricity,dem,49.46494845
h2836,electricity,dem,51.05773196
h2837,electricity,dem,54.65979381
h2838,electricity,dem,61.74639175
h2839,electricity,dem,66.94948454
h2840,electricity,dem,69.37216495
h2841,electricity,dem,70.04948454
h2842,electricity,dem,71.15979381
h2843,electricity,dem,72.17731959
h2844,electricity,dem,71.24742268
h2845,electricity,dem,70.33298969
h2846,electricity,dem,69.20824742
h2847,electricity,dem,68.07010309
h2848,electricity,dem,66.27319588
h2849,electricity,dem,65.37010309
h2850,electricity,dem,65.32474227
h2851,electricity,dem,65.07525773
h2852,electricity,dem,64.42061856
h2853,electricity,dem,63.90309278
h2854,electricity,dem,59.79896907
h2855,electricity,dem,54.70103093
h2856,electricity,dem,50.89793814
h2857,electricity,dem,48.69587629
h2858,electricity,dem,47.46907216
h2859,electricity,dem,47.67010309
h2860,electricity,dem,49.25360825
h2861,electricity,dem,53.29587629
h2862,electricity,dem,60.86082474
h2863,electricity,dem,66.84948454
h2864,electricity,dem,69.44020619
h2865,electricity,dem,69.89278351
h2866,electricity,dem,71.00618557
h2867,electricity,dem,72.51546392
h2868,electricity,dem,71.38969072
h2869,electricity,dem,70.59175258
h2870,electricity,dem,69.04123711
h2871,electricity,dem,67.94948454
h2872,electricity,dem,66.16185567
h2873,electricity,dem,65.16597938
h2874,electricity,dem,64.33917526
h2875,electricity,dem,63.71546392
h2876,electricity,dem,62.02474227
h2877,electricity,dem,60.01546392
h2878,electricity,dem,56.14329897
h2879,electricity,dem,51.37938144
h2880,electricity,dem,47.38453608
h2881,electricity,dem,44.79690722
h2882,electricity,dem,43.02268041
h2883,electricity,dem,42.70309278
h2884,electricity,dem,42.7371134
h2885,electricity,dem,41.86185567
h2886,electricity,dem,40.03195876
h2887,electricity,dem,41.94329897
h2888,electricity,dem,45.41030928
h2889,electricity,dem,48.66701031
h2890,electricity,dem,50.74948454
h2891,electricity,dem,52.87525773
h2892,electricity,dem,52.26391753
h2893,electricity,dem,50.2814433
h2894,electricity,dem,48.56804124
h2895,electricity,dem,47.56494845
h2896,electricity,dem,46.98762887
h2897,electricity,dem,47.80309278
h2898,electricity,dem,48.74948454
h2899,electricity,dem,48.85979381
h2900,electricity,dem,48.81752577
h2901,electricity,dem,49.58659794
h2902,electricity,dem,48.33917526
h2903,electricity,dem,44.81237113
h2904,electricity,dem,41.35051546
h2905,electricity,dem,39.32783505
h2906,electricity,dem,38.4556701
h2907,electricity,dem,38.73402062
h2908,electricity,dem,39.64742268
h2909,electricity,dem,40.83505155
h2910,electricity,dem,42.22268041
h2911,electricity,dem,45.78659794
h2912,electricity,dem,50.19793814
h2913,electricity,dem,53.31958763
h2914,electricity,dem,54.87113402
h2915,electricity,dem,55.6742268
h2916,electricity,dem,55.29484536
h2917,electricity,dem,53.57113402
h2918,electricity,dem,52.19587629
h2919,electricity,dem,51.38762887
h2920,electricity,dem,50.75257732
h2921,electricity,dem,51.4556701
h2922,electricity,dem,52.29587629
h2923,electricity,dem,52.30721649
h2924,electricity,dem,51.45670103
h2925,electricity,dem,51.6
h2926,electricity,dem,49.76185567
h2927,electricity,dem,46.14742268
h2928,electricity,dem,42.51030928
h2929,electricity,dem,40.25257732
h2930,electricity,dem,38.94845361
h2931,electricity,dem,38.87835052
h2932,electricity,dem,39.28350515
h2933,electricity,dem,39.47319588
h2934,electricity,dem,39.30309278
h2935,electricity,dem,41.45773196
h2936,electricity,dem,44.90721649
h2937,electricity,dem,48.28969072
h2938,electricity,dem,50.84226804
h2939,electricity,dem,53.74020619
h2940,electricity,dem,53.45051546
h2941,electricity,dem,51.68865979
h2942,electricity,dem,50.23298969
h2943,electricity,dem,49.48659794
h2944,electricity,dem,49.43917526
h2945,electricity,dem,51.00309278
h2946,electricity,dem,52.57525773
h2947,electricity,dem,52.34226804
h2948,electricity,dem,52.1
h2949,electricity,dem,52.22783505
h2950,electricity,dem,51.21546392
h2951,electricity,dem,47.48762887
h2952,electricity,dem,44.38453608
h2953,electricity,dem,42.75360825
h2954,electricity,dem,42.15670103
h2955,electricity,dem,42.63092784
h2956,electricity,dem,44.43092784
h2957,electricity,dem,49.40824742
h2958,electricity,dem,58.48659794
h2959,electricity,dem,65.14536082
h2960,electricity,dem,68.7185567
h2961,electricity,dem,69.79587629
h2962,electricity,dem,71.33298969
h2963,electricity,dem,72.6742268
h2964,electricity,dem,72.08247423
h2965,electricity,dem,70.98350515
h2966,electricity,dem,69.38041237
h2967,electricity,dem,67.65876289
h2968,electricity,dem,65.84845361
h2969,electricity,dem,65.16701031
h2970,electricity,dem,64.69278351
h2971,electricity,dem,64.44226804
h2972,electricity,dem,62.98247423
h2973,electricity,dem,62.2742268
h2974,electricity,dem,58.05979381
h2975,electricity,dem,52.8
h2976,electricity,dem,48.86082474
h2977,electricity,dem,46.91752577
h2978,electricity,dem,45.9443299
h2979,electricity,dem,46.30412371
h2980,electricity,dem,47.74536082
h2981,electricity,dem,51.72989691
h2982,electricity,dem,60.21443299
h2983,electricity,dem,67.11237113
h2984,electricity,dem,69.91030928
h2985,electricity,dem,70.80824742
h2986,electricity,dem,72.47216495
h2987,electricity,dem,73.71237113
h2988,electricity,dem,72.8556701
h2989,electricity,dem,71.62371134
h2990,electricity,dem,69.74536082
h2991,electricity,dem,68.78453608
h2992,electricity,dem,67.42164948
h2993,electricity,dem,67.46082474
h2994,electricity,dem,66.89896907
h2995,electricity,dem,66.02886598
h2996,electricity,dem,63.68247423
h2997,electricity,dem,62.4628866
h2998,electricity,dem,58.36494845
h2999,electricity,dem,53.07835052
h3000,electricity,dem,49.12680412
h3001,electricity,dem,47.22783505
h3002,electricity,dem,46.13092784
h3003,electricity,dem,46.23298969
h3004,electricity,dem,47.78453608
h3005,electricity,dem,51.91030928
h3006,electricity,dem,59.65979381
h3007,electricity,dem,65.95360825
h3008,electricity,dem,69.1814433
h3009,electricity,dem,69.92371134
h3010,electricity,dem,71.01546392
h3011,electricity,dem,72.14948454
h3012,electricity,dem,71.5257732
h3013,electricity,dem,70.86082474
h3014,electricity,dem,69.46185567
h3015,electricity,dem,67.96082474
h3016,electricity,dem,66.5742268
h3017,electricity,dem,65.95979381
h3018,electricity,dem,65.84742268
h3019,electricity,dem,65.10824742
h3020,electricity,dem,63.41649485
h3021,electricity,dem,62.77628866
h3022,electricity,dem,59.0814433
h3023,electricity,dem,53.39690722
h3024,electricity,dem,49.52474227
h3025,electricity,dem,47.69072165
h3026,electricity,dem,46.65154639
h3027,electricity,dem,46.93195876
h3028,electricity,dem,48.78350515
h3029,electricity,dem,52.27525773
h3030,electricity,dem,60.12474227
h3031,electricity,dem,66.17525773
h3032,electricity,dem,69.17731959
h3033,electricity,dem,69.81546392
h3034,electricity,dem,71.04536082
h3035,electricity,dem,72.02371134
h3036,electricity,dem,71.08350515
h3037,electricity,dem,70.50309278
h3038,electricity,dem,69.16494845
h3039,electricity,dem,67.77525773
h3040,electricity,dem,66.20618557
h3041,electricity,dem,65.41752577
h3042,electricity,dem,65.03195876
h3043,electricity,dem,64.23608247
